lat,lon,country,tmin_trend,tmax_trend,tmin_intercept,tmax_intercept
-8.77 , -70.55 , AC yearly trends,  0.031736579120716917 , 0.01210710576603224 , 20.992440820468797 , 31.504651678101787
-12.96 , -38.51 , BA yearly trends,  0.02671285823295074 , 0.03292052971062988 , 18.997251898227553 , 30.46377881646644
-16.64 , -49.31 , GO yearly trends,  0.03453887679434113 , -0.055550760260611905 , 18.242633444825653 , 32.13618314179526
-12.64 , -55.42 , MT yearly trends,  0.03511594218966688 , 0.01646672488570545 , 20.097432118353407 , 32.26810100343052
-8.28 , -43.68 , PI yearly trends,  0.03245357616628342 , 0.049722624030676205 , 21.235162515723275 , 33.1800649571184
-11.22 , -62.80 , RO yearly trends,  0.04325374247533072 , 0.009645517416797443 , 20.972774708404817 , 32.10664855345913
-10.90 , -37.07 , SE yearly trends,  0.020464147551992596 , 0.009713678690919927 , 21.790890989136695 , 30.810589119496875
-9.71 , -35.73 , AL yearly trends,  0.030798931839373406 , 0.00946572246606723 , 21.098372690108697 , 30.67501918524875
-3.71 , -38.54 , CE yearly trends,  0.01828186761799647 , 0.05756789531008519 , 21.889929382504302 , 32.21377113207544
-2.55 , -44.30 , MA yearly trends,  0.021050803305306877 , 0.025695496481416037 , 22.14941714408239 , 33.062594048027535
-5.53 , -52.29 , PA yearly trends,  0.022583538404349342 , 0.008434734329445723 , 21.97541145225838 , 32.28391596054893
-24.89 , -51.55 , PR yearly trends,  0.03373873849043009 , -0.008607009763323667 , 15.191153786163587 , 26.382075300171586
1.89 , -61.22 , RR yearly trends,  0.04538078197862061 , 0.0036492795231080205 , 21.911861355060037 , 32.21922702401382
-23.55 , -46.64 , SP yearly trends,  0.008488118751177689 , 0.015292815057815719 , 16.683523759291077 , 28.620523053173244
-3.07 , -61.66 , AM yearly trends,  0.030120344357558913 , -0.004185148797685898 , 22.007174408233272 , 32.48583119496859
-15.83 , -47.86 , DF yearly trends,  0.008225065969253757 , 0.04548748782030484 , 16.55553857632937 , 27.28959468839342
-18.10 , -44.38 , MG yearly trends,  0.03520117929419836 , -0.00542676088672275 , 16.687372304173802 , 29.30795045168672
-7.06 , -35.55 , PB yearly trends,  0.03170384049984046 , 0.04717162832862479 , 20.441149959977125 , 31.047593481989747
-22.84 , -43.15 , RJ yearly trends,  0.018837542930560936 , -0.008127463297876222 , 18.338736698113212 , 28.67701534591196
-30.01 , -51.22 , RS yearly trends,  0.002785258274688795 , 0.012324627043806515 , 14.170602643224717 , 24.48143694682676
-10.25 , -48.25 , TO yearly trends,  -0.001491241969879968 , 0.0068465435762324325 , 21.382461223556295 , 33.229031626643774
1.41 , -51.77 , AP yearly trends,  0.04966133034194543 , 0.037522649727066856 , 22.034045345911945 , 31.786089296740858
-19.19 , -40.34 , ES yearly trends,  -0.02286801687873328 , -0.03319458119468313 , 19.78582413950824 , 30.059853118925076
-20.51 , -54.54 , MS yearly trends,  -0.005183613145587635 , 0.0008950842958532949 , 19.348547321326453 , 31.25496674671249
-8.28 , -35.07 , PE yearly trends,  0.046866527532300785 , 0.031111908640896094 , 19.880264908519134 , 31.097928213264726
-5.22 , -36.52 , RN yearly trends,  0.021836713341898302 , 0.04436374110572476 , 22.514650334476848 , 32.152210594625515
-27.33 , -49.44 , SC yearly trends,  0.00299519292501736 , -0.026580817457885205 , 13.970793965408804 , 24.0564920640366
